Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tim Duncan,2m14,26,24,24.7,15.4,5.3
Tony Parker,1m86,20,24,14.7,2.8,3.5
Stephen Jackson,2m04,24,24,12.8,4.1,2.7
Manu Ginobili,2m01,25,24,9.4,3.8,2.9
Malik Rose,2m01,28,24,9.3,5.8,1
David Robinson,2m17,37,23,7.8,6.6,0.9
Bruce Bowen,2m01,31,24,6.9,2.9,1.6
Speedy Claxton,1m81,24,24,5.2,1.9,1.9
Kevin Willis,2m14,40,18,2.6,1.7,0.1
Steve Kerr,1m91,37,10,2.2,0.3,0.6
Steve Smith,2m04,33,9,1.8,0.8,0.7
Danny Ferry,2m09,36,16,1.3,1.4,0.4
