Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Donovan Mitchell,1m91,24,53,26.4,4.4,5.2
Jordan Clarkson,1m98,28,68,18.6,4,2.5
Bojan Bogdanovic,2m00,31,72,16.8,3.9,1.9
Mike Conley,1m85,33,50,16.4,3.4,5.9
Rudy Gobert,2m15,28,71,14.2,13.6,1.3
Joe Ingles,2m04,33,67,12.2,3.6,4.8
Royce O'Neale,1m98,27,71,7.1,6.8,2.5
Georges Niang,2m01,27,72,7,2.4,0.8
Derrick Favors,2m10,29,68,5.4,5.6,0.7
Ersan Ilyasova,2m05,33,18,3.6,1.6,0.2
Matt Thomas,1m91,26,20,3.4,1.2,0.5
Trent Forrest,1m94,22,31,3,1.5,1.5
Jarrell Brantley,1m98,24,29,2.3,0.9,0.5
Miye Oni,1m98,23,55,1.9,1.6,0.5
Elijah Hughes,1m98,22,19,1.6,0.5,0.3
Juwan Morgan,2m01,23,30,1.2,1,0.3
Udoka Azubuike,2m09,21,15,1.1,0.9,0
Shaquille Harrison,1m92,27,17,1,0.5,0.5
