Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Nikola Jokic,2m09,27,69,24.5,11.8,9.8
Jamal Murray,1m94,25,65,20,4,6.2
Michael Porter,2m08,24,62,17.4,5.5,1
Aaron Gordon,2m05,27,68,16.3,6.6,3
Bones Hyland,1m91,22,42,12.1,2,3
Bruce Brown,1m97,26,80,11.5,4.1,3.4
Kentavious Caldwell-Pope,1m95,29,76,10.8,2.7,2.4
Reggie Jackson,1m91,32,16,7.9,1.8,3.1
Jeff Green,2m03,36,56,7.8,2.6,1.2
Zeke Nnaji,2m10,21,53,5.2,2.6,0.3
DeAndre Jordan,2m13,34,39,5.1,5.2,0.9
Vlatko Cancar,2m03,25,60,5,2.1,1.3
Christian Braun,1m98,21,76,4.7,2.4,0.8
Thomas Bryant,2m08,25,18,4.6,3.3,0.1
Peyton Watson,2m07,20,23,3.3,1.6,0.5
Ishmael Smith,1m85,34,43,2.5,1.3,2.3
Davon Reed,1m98,27,35,2.3,1.6,0.5
Jack White,1m95,25,17,1.2,1,0.2
