Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Devin Booker,1m98,25,68,26.8,5,4.8
Deandre Ayton,2m09,23,58,17.2,10.2,1.4
Chris Paul,1m81,36,65,14.7,4.4,10.8
Mikal Bridges,2m01,25,82,14.2,4.2,2.3
Cameron Johnson,2m03,25,66,12.5,4.1,1.5
Cameron Payne,1m88,27,58,10.8,3,4.9
Frank Kaminsky,2m11,28,9,10.6,4.6,1.4
Jae Crowder,2m00,31,67,9.4,5.3,1.9
JaVale McGee,2m13,33,74,9.2,6.7,0.6
Landry Shamet,1m93,24,69,8.3,1.8,1.6
Torrey Craig,1m98,31,27,6.9,4.3,1.2
Aaron Holiday,1m85,25,22,6.8,2.5,3.4
Jalen Smith,2m08,21,29,6,4.8,0.2
Bismack Biyombo,2m04,29,36,5.8,4.6,0.6
Iffe Lundberg,1m93,27,4,3.3,1.8,2.8
Paris Bass,2m03,26,2,3,2,0
Elfrid Payton,1m91,27,50,3,1.8,2
Abdel Nader,1m98,28,14,2.4,1.9,0.5
Ishmail Wainright,1m97,27,45,2.4,1.2,0.3
Justin Jackson,2m03,26,6,2.2,1.2,0.3
Chandler Hutchison,2m01,25,6,0.7,0.8,0.3
Emanuel Terry,2m06,25,3,0,5,0.7
M.J. Walker,1m96,23,2,0,0.5,0.5
